comment,sentiment
妞妞屁股就能百万粉的时代真的比鞭炮炸lan子的时代好吗我觉得未必金陵纵有千种风情也不如虎弟惊鸿一瞥,0
感谢找了好久的官方MV,2
契诃夫说过如果故事里出现一把枪那它就非发射不可我的故事里出现了沈阳那我就非整个狠活儿不可,0
这个视频我看了不下50次最初点进去是抱着无厘头的态度看一个搞笑的抽象作品的可没想到我被彻底的震撼到了忍不住的看了一次又一次多年前模糊的画质夏日漱石的配乐王家卫文艺的台词虎哥荒诞行为的画面这一切听起来不可思议甚至有些魔幻的组合却拼接的是那么的恰到好处想要赋予视频意义的同时又在鼓励观众尝试解构一帧帧画面狭窄的房间失意的男人狂乱的肢体动作整部作品都旨在表达一种荒谬感一种充斥着整个人类历史的荒诞无稽这里没有什么东西是有价值可言的宇宙冷漠而荒谬而人在真正面对它时一切的现实和理智都将崩溃我愿称之为荒诞浪漫主义的开端甚至将引领一段不可思议的潮流你问我什么是荒诞浪漫主义是莫扎特谱写的朋克摇滚乐是梵高画出的二次元美少女是曹雪芹写下的凡人修仙传是李白导演出的商业谍战片是方文山创作出的让子弹飞是虎和刀度过的那一个夏天,2
看完了up的视频我痛哭流涕生活真是如此美好与浪漫,2
要是还能回到那个夏天就好了回去虎刀视频都还在几十万的时候泪目,2
我已经记不清了有谁可以告诉我东百大战哪一年开始的,0
李宁会开线秋刀鱼会过期好果汁会变质但你永远是歌姬吧,0
听别人说日语里夏天结束了这句话绝对不能用字面意思理解里面包含了多少不可言说的含义那是一夜长大的意思那是恋爱无疾而终的预兆那是青春消失殆尽的季节是从梦想跌入到现实的分界点是失去童真变成大人的夜晚也是人生从充满期待的未知陷落到无可改变的无所适从,2
今日几号16号咯1960年4月16号下昼三点前嘅一分钟你同我係埋一齊httpswwwbilibilicomvideoBV1ka411r7DD我听人讲哩個世界有种雀仔无脚哩种雀仔一世只可以降落一次果次就系佢死嘅时候阿飞正传,0
这位更是重量级,2
烂活爬,0
迪迦下架了虎子成为了最后一丝光,0
1998年的东百小镇五菱摩托与后座彪姐满大街的跆拳道馆与夜里溜达的老头纵横密布的交通线与失去腰子的碰瓷人杀马特团员躁动的荷尔蒙与无处安放的青春嘴边放肆说出的狠话与怎么也撞不开的一生之敌红牛虎哥原以为东百就是世界的中心东百不变世界不变自己不变东百也不会变然而飞速变化的城乡结合部恰似虎哥的生活被时代的浪潮裹挟着大步向前只留下倔强的灵魂在那个孤独的小镇等待着那些永远不会再回来的人于我而言沈阳是东北的魔都街边的路虎公园长椅上的女人小区三楼的单身少女路人嘴里的烟头马尔克斯的魔幻现实也不及这座城市里发生的故事我终日游荡在街头想要寻找有趣的灵魂后来我才发现人们大多无趣有意思的只有我一个人而已不知道从什么时候开始什么东西都有一个保质期绝活会过期好活会过期就连狠活也会过期我不知道在这个沈阳还有什么是能一直整下去的我的青春结束在沈阳大街,0
这个视频我看了不下50次最初点进去是抱着无厘头的态度看一个搞笑的抽象作品的可没想到我被彻底的震撼到了忍不住的看了一次又一次多年前模糊的画质夏日漱石的配乐王家卫文艺的台词虎哥荒诞行为的画面这一切听起来不可思议甚至有些魔幻的组合却拼接的是那么的恰到好处想要赋予视频意义的同时又在鼓励观众尝试解构一帧帧画面狭窄的房间失意的男人狂乱的肢体动作整部作品都旨在表达一种荒谬感一种充斥着整个人类历史的荒诞无稽这里没有什么东西是有价值可言的宇宙冷漠而荒谬而人在真正面对它时一切的现实和理智都将崩溃我愿称之为荒诞浪漫主义的开端甚至将引领一段不可思议的潮流你问我什么是荒诞浪漫主义是莫扎特谱写的朋克摇滚乐是梵高画出的二次元美少女是曹雪芹写下的凡人修仙传是李白导演出的商业谍战片是方文山创作出的让子弹飞是虎和刀度过的那一个夏天我常问今天几号是因为整活人都没了贵物队长虎哥而立之年没活了三金不知道跑到哪里去了FW刀因牛奶事件遭到封杀操小亮走了哥谭蝙蝠侠本体头套已被拽掉比鸭弟唐老鸭自挂东南枝蛇哥出走研发核心科技团长忘记初心要争土味之王一个个过去的狠活就好像发生在前一分钟,2
歌声音太大了,0
我晚上失眠的时候就会去看沈阳大街的夏日漱石,2
up剪辑的真的很励志加油,2
像极了我的青春,2
143播放刷到出号了兄弟们,2
真的不懂你们为什么要发这些和歌曲无关的东西如果你想要刷梗就去该去的地方刷让我们这些看不懂的人怎么想整个弹幕都是这样乌烟瘴气我也很喜欢这首歌而且循环很久了不喜欢弹幕都是充斥这种梗所以以前我也喜欢这首歌现在我是歌姬吧,0
沈阳大街其实根本不存在它只是在互联网上人们的一个精神象征一个图腾罢了现在沈阳大街就矗立在那里它还在但它他又不在了刀哥虎哥赵三金小亮这些人都已远去即便是同一批人重新做一遍那样的事也无法回到那个日子但沈阳大街前一分钟的好果汁我会记一辈子,0
不知道什么时候发现的我那存放着东百的收藏夹里面内容数量没再变过收藏的越多已失效视频出现的次数也越多我看着无数的好活到来也看着无数的好活离开所幸补档的存在让我们得以记住它们人们也说补档是检验好活的唯一标准可我的心里偶尔还是会泛起那一丝伤感我总在怀疑补档过后它还是一样的活吗如果好活生来就注定要面临被举报的命运那它为何诞生我不明白但我知道虎哥也不明白很多东西没变就像不会消失的好活很多东西变了就像视频标题里默默跟着的补档虎哥大抵也是明白的想整活的心没有变但自己变的是三十岁有的人拿起了身份证整不出好活有的人跑上了平台抽起了炫赫门没活了但还得活活没变变的是整活人沈阳没变变的是我们因为现实没有补档,0
说实话以前就一直在听突然发现喜欢的歌变成了烂梗一群人跟风我真的是好玄把我李宁踹开线了,0
以前觉得就是烂活现在我突然觉得这个b是当代堂吉诃德,0
今天是2022的1月8日但仿佛回忆仍留在那年的夏天我们很快乐但转眼呢已经很少联系了但仍旧留念那段和他们的时光时间真的好快啊,2
从电吉他视频点进来的单纯觉得这首歌好听结果我只能看着满评论的梗陷入沉思我不知道东百经历了什么竟有如此多b站文豪作文感叹我不知道李宁会不会开线baby辣不辣果汁好不好我唯一能知道的是如今这个整活艺术的时代能对这些快手整活哥能有如此的膜拜好活也好烂活也好人们对此可以将其申引到更高的境界这也是一个对一种文化的尊重,2
这算自由吗,0
当年官方的mv因版权问题未能传入本土如今终于找到了谢谢up,2
因为你我会记住这一分钟,2
当东百吹过最后一缕整活之风时我知道那个时代的浪漫已经会永存于我心中了,2
今天几号,2
这2个视频71粉丝我80多个视频29个粉丝甘拜下风,0
真的不懂你们为什么要发这些和歌曲无关的东西如果你想要刷梗就去该去的地方刷让我们这些看不懂的人怎么想整个弹幕都是这样乌烟瘴气我也很喜欢这首歌而且循环很久了不喜欢弹幕都是充斥这种梗说了这么多我还是想说团长你根本不在动物园你去哪了,0
虎哥现在在哪发动态啊找不着啊,0
18分钟让我回到了18年,2
8号1月8号2022年1月8号,2
2333刷到,0
夏目漱石不是被印在日元上的作家吗,0
一个梗让这首歌火到了它本该火的地位,0
可让我找到了举办,2
看这个还不如看mv,0
已举办,2
我永远记得2016年的夏天那个遍地是狠活的夏天,2
全体目光向我看齐,2
我想问一下各位每次打开b站都是这种低俗梗有意思吗再说了社会你虎哥你根本没在动物园你躲哪儿去了,0
过了良久感叹时光飞逝出门带上刚刚被水雾弥漫的眼镜融入的接接攘攘的人群中不知去向,2
了解你的捍卫者,2
这个视频我看了不下50次最初点进去是抱着无厘头的态度看一个搞笑的抽象作品的可没想到我被彻底的震撼到了忍不住的看了一次又一次多年前模糊的画质夏日漱石的配乐王家卫文艺的台词虎哥荒诞行为的画面这一切听起来不可思议甚至有些魔幻的组合却拼接的是那么的恰到好处想要赋予视频意义的同时又在鼓励观众尝试解构一帧帧画面狭窄的房间失意的男人狂乱的肢体动作整部作品都旨在表达一种荒谬感一种充斥着整个人类历史的荒诞无稽这里没有什么东西是有价值可言的宇宙冷漠而荒谬而人在真正面对它时一切的现实和理智都将崩溃我愿称之为荒诞浪漫主义的开端甚至将引领一段不可思议的潮流你问我什么是荒诞浪漫主义是莫扎特谱写的朋克摇滚乐是梵高画出的二次元美少女是曹雪芹写下的凡人修仙传是李白导演出的商业谍战片是方文山创作出的让子弹飞是虎和刀度过的那一个夏天,2
我想问一下各位每次都刷这种低俗梗有意思吗再说了社会你虎哥你根本没在动物园你躲哪儿去了,0
你问我什么是荒诞浪漫主义是莫扎特谱写的朋克摇滚乐是梵高画出的二次元美少女是曹雪芹写下的凡人修仙传是李白导演出的商业谍战片是方文山创作出的让子弹飞是虎和刀度过的那一个夏天,2
没活不就是4了吗,0
刚来b站请问今天几号,2
新人想问下这是什么,0
这个视频我看了不下50次最初点进去是抱着无厘头的态度看一个搞笑的抽象作品的可没想到我被彻底的震撼到了忍不住的看了一次又一次多年前模糊的画质夏日漱石的配乐王家卫文艺的台词虎哥荒诞行为的画面这一切听起来不可思议甚至有些魔幻的组合却拼接的是那么的恰到好处想要赋予视频意义的同时又在鼓励观众尝试解构一帧帧画面狭窄的房间失意的男人狂乱的肢体动作整部作品都旨在表达一种荒谬感一种充斥着整个人类历史的荒诞无稽这里没有什么东西是有价值可言的宇宙冷漠而荒谬而人在真正面对它时一切的现实和理智都将崩溃我愿称之为荒诞浪漫主义的开端甚至将引领一段不可思议的潮流你问我什么是荒诞浪漫主义是莫扎特谱写的朋克摇滚乐是梵高画出的二次元美少女是曹雪芹写下的凡人修仙传是李白导演出的商业谍战片是方文山创作出的让子弹飞是虎和刀度过的那一个夏天,2
今天几号,2
今天几号,2
今天几号,2
不会后跳的龙骑,0
今日16号,2
绝了,2
今天几号,2
